2026-04-27 00:12:51 - backtest_project_426.backtest_main - INFO - ==================================================
2026-04-27 00:12:51 - backtest_project_426.backtest_main - INFO - 开始回测程序
2026-04-27 00:12:52 - backtest_project_426.backtest_main - INFO - 初始资金: 100000.0
2026-04-27 00:12:52 - backtest_project_426.backtest_main - INFO - 回测期间: 2025-04-15 到 2026-04-15
2026-04-27 00:12:52 - backtest_project_426.backtest_main - INFO - ==================================================
2026-04-27 00:12:52 - GoldenCrossStrategy - INFO - 策略初始化完成: fast_period=6, slow_period=20
2026-04-27 00:12:52 - GoldenCrossStrategy - INFO - 收盘价: 3939.81, 快线: 3989.12, 慢线: 3979.71
2026-04-27 00:12:52 - GoldenCrossStrategy - INFO - 收盘价: 3946.74, 快线: 3979.78, 慢线: 3981.36
2026-04-27 00:12:52 - GoldenCrossStrategy - INFO - 卖出执行，价格：3956.74，成本：38735.70，佣金 11.87
2026-04-27 00:12:52 - GoldenCrossStrategy - INFO - 利润记录，毛利润 831.70，净利润 808.21
2026-04-27 00:12:52 - GoldenCrossStrategy - INFO - 收盘价: 3931.05, 快线: 3968.27, 慢线: 3981.79
2026-04-27 00:12:52 - GoldenCrossStrategy - INFO - 收盘价: 3834.89, 快线: 3935.83, 慢线: 3976.02
2026-04-27 00:12:52 - GoldenCrossStrategy - INFO - 收盘价: 3836.77, 快线: 3910.22, 慢线: 3968.02
2026-04-27 00:12:52 - GoldenCrossStrategy - INFO - 收盘价: 3870.02, 快线: 3893.21, 慢线: 3962.11
2026-04-27 00:12:52 - GoldenCrossStrategy - INFO - 收盘价: 3864.18, 快线: 3880.61, 慢线: 3954.50
2026-04-27 00:12:52 - GoldenCrossStrategy - INFO - 收盘价: 3875.26, 快线: 3868.69, 慢线: 3948.92
2026-04-27 00:12:52 - GoldenCrossStrategy - INFO - 收盘价: 3888.60, 快线: 3861.62, 慢线: 3945.61
2026-04-27 00:12:52 - GoldenCrossStrategy - INFO - 收盘价: 3914.01, 快线: 3874.81, 慢线: 3942.48
2026-04-27 00:12:52 - GoldenCrossStrategy - INFO - 收盘价: 3897.71, 快线: 3884.96, 慢线: 3939.36
2026-04-27 00:12:52 - GoldenCrossStrategy - INFO - 收盘价: 3878.00, 快线: 3886.29, 慢线: 3934.79
2026-04-27 00:12:52 - GoldenCrossStrategy - INFO - 收盘价: 3875.79, 快线: 3888.23, 慢线: 3928.20
2026-04-27 00:12:52 - GoldenCrossStrategy - INFO - 收盘价: 3902.81, 快线: 3892.82, 慢线: 3923.46
2026-04-27 00:12:52 - GoldenCrossStrategy - INFO - 收盘价: 3924.08, 快线: 3898.73, 慢线: 3918.73
2026-04-27 00:12:52 - GoldenCrossStrategy - INFO - 收盘价: 3909.52, 快线: 3897.99, 慢线: 3914.07
2026-04-27 00:12:52 - GoldenCrossStrategy - INFO - 收盘价: 3900.50, 快线: 3898.45, 慢线: 3909.09
2026-04-27 00:12:52 - GoldenCrossStrategy - INFO - 收盘价: 3873.32, 快线: 3897.67, 慢线: 3901.28
2026-04-27 00:12:52 - GoldenCrossStrategy - INFO - 收盘价: 3889.35, 快线: 3899.93, 慢线: 3896.22
2026-04-27 00:12:52 - GoldenCrossStrategy - INFO - 买入执行，价格：3869.27，成本：38692.65，佣金 11.61
2026-04-27 00:12:52 - GoldenCrossStrategy - INFO - 收盘价: 3867.92, 快线: 3894.11, 慢线: 3891.02
2026-04-27 00:12:52 - GoldenCrossStrategy - INFO - 收盘价: 3824.81, 快线: 3877.57, 慢线: 3885.27
2026-04-27 00:12:52 - GoldenCrossStrategy - INFO - 卖出执行，价格：3818.69，成本：38692.65，佣金 11.46
2026-04-27 00:12:52 - GoldenCrossStrategy - INFO - 利润记录，毛利润 -505.78，净利润 -528.84
2026-04-27 00:12:52 - GoldenCrossStrategy - INFO - 收盘价: 3870.28, 快线: 3871.03, 慢线: 3881.44
2026-04-27 00:12:52 - GoldenCrossStrategy - INFO - 收盘价: 3876.37, 快线: 3867.01, 慢线: 3878.71
2026-04-27 00:12:52 - GoldenCrossStrategy - INFO - 收盘价: 3890.45, 快线: 3869.86, 慢线: 3881.49
2026-04-27 00:12:52 - GoldenCrossStrategy - INFO - 收盘价: 3917.36, 快线: 3874.53, 慢线: 3885.52
2026-04-27 00:12:52 - GoldenCrossStrategy - INFO - 收盘价: 3919.98, 快线: 3883.21, 慢线: 3888.02
2026-04-27 00:12:52 - GoldenCrossStrategy - INFO - 收盘价: 3940.95, 快线: 3902.57, 慢线: 3891.85
2026-04-27 00:12:52 - GoldenCrossStrategy - INFO - 买入执行，价格：3941.66，成本：39416.58，佣金 11.82
2026-04-27 00:12:52 - GoldenCrossStrategy - INFO - 收盘价: 3959.62, 快线: 3917.45, 慢线: 3896.07
